iter	Passed	Remaining
937	1569	103
938	1572	102
939	1573	100
940	1574	98
941	1575	97
942	1577	95
943	1578	93
944	1579	91
945	1580	90
946	1582	88
947	1583	86
948	1586	85
949	1588	83
950	1589	81
951	1590	80
952	1591	78
953	1592	76
954	1594	75
955	1595	73
956	1596	71
957	1597	70
958	1602	68
959	1604	66
960	1605	65
961	1606	63
962	1607	61
963	1608	60
964	1608	58
965	1610	56
966	1611	54
967	1612	53
968	1613	51
969	1617	50
970	1619	48
971	1620	46
972	1621	45
973	1622	43
974	1623	41
975	1624	39
976	1626	38
977	1627	36
978	1628	34
979	1629	33
980	1630	31
981	1632	29
982	1633	28
983	1634	26
984	1635	24
985	1636	23
986	1637	21
987	1639	19
988	1640	18
989	1641	16
990	1645	14
991	1646	13
992	1647	11
993	1648	9
994	1649	8
995	1651	6
996	1652	4
997	1653	3
998	1655	1
999	1656	0
